,product_name,manufacturer,price,product_description,euro
79,LEGO Ninjago 2259: Skull Motorbike,LEGO,£54.99,Manufacturer's Description Battle Chopov to retrieve the nunchucks of lightening! Chopov is escaping on his Skull Motorbike with the nunchucks of lightning and Sensei Wu has sent Jay to stop him. Can he use his new-found skills to avoid the Skull Motorbike's Ninja swat defense and retrieve the nunchucks?,61.04
80,LEGO Belville 7585: Horse Stable,LEGO,,"Product Description LEGO Belville 7585: Horse Stable - Includes Laura equestrian figure and horses Star and Robin! - Horse Stable has lots of accessories including flowers, ribbons, carrots, kitten and more! - 209 pieces - Age 5-10 Manufacturer's Description The playful puppy Bianca has won first prize in the dog show and is waving happily, while mummy Bella is watching carefully from in front of her LEGO BELVILLE dog house.",0.0
81,LEGO Indiana Jones 7628 Peril In Peru Limited Edition,LEGO,£169.99,LEGO Indiana Jones: Peril In Peru Limited Edition Set 7628,188.69
82,BIONICLE 8977 Zesk,LEGO,,,0.0
83,LEGO 31039 Creator Power Jet - Blue,LEGO,£46.40,"Product Description The modular LEGO Friends Pop Star Show Stage includes a big screen, pop star reveal and dancing functions and musical instruments sets. Box Contains Includes Livi the pop star and Andrea mini-doll figures",51.5
84,LEGO Juniors 10672: Batman Defend the Batcave,LEGO,£39.99,"Product Description To the Batcave, Robin! The Joker is using his crazy catapult to smash the Batcave – can the heroic crime fighters race to the scene in the Batmobile and lock him up in the prison cell before he wins? This easy-to-build set has all you need to develop your child's building skills. Create a world of iconic superheroes and villains, from the giant archway to the cell for holding bad guys. It also makes an ideal gift. This playset includes three minifigures – Batman, Robin, and The Joker – with assorted weapons. The Batcave features entrance, jail, and phone; the Batmobile features car base, flames, and iconic design. Weapons include Batman's Batarang, The Joker's giant mallet, Robin's staff, and dynamite. The car base measures over 3 inches (8 cm) long, 2 inches (5 cm) wide, and under 1 inch (2 cm) high. Box Contains Includes 3 minifigures: Batman, The Joker and Robin",44.39
85,LEGO Indiana Jones 7624: Jungle Duel,LEGO,£49.95,"Product Description Unisex Manufacturer's Description Speed's Mach 6 race car is capable of 400 kph and is ready for the Grand Prix. But so are his opponents, Gray Ghost and Cannonball Taylor. Set includes three race cars: the Mach 6, Gray Ghost's car, Cannonball Taylor's car and eight minifigures.",55.44
86,LEGO® Power Miners 8189: Magma Mech,LEGO,£34.99,"The Power Miners have dug even deeper into the Earth, and now the underground action is really heating up! Surrounded by pools of fiery lava, the powerful Magma Mech faces off against a rampaging Firax lava monster. Grab it with the extending titanium scissor claw arm, and put out its flames with a blast from the super-cooled, spinning water jet! Just don't run out of water, because it's a long way back up to the surface! Extend Magma Mech's scissor claw to grab Firax! Quench the red-hot Firax lava monster with the spinning water jet! Open the heat-shieded cockpit! Measures over 7"" (17cm) tall",38.84
87,LEGO Technic 42010: Off-Road Racer,LEGO,£39.63,"Product Description The rugged Off-Road Racer is the perfect introduction to the exciting world of LEGO Technic building. This realistic model features easy-to-follow instructions, cool, colourful styling and a pull-back motor--just pull back, release and watch it fly. Have hours of fun racing your friends. Combine your model with the 42011 Race Car for a super-fast Dragster with pull-back motor, adjustable rear wing and opening cockpit. Box Contains 1 x pull-back motor",43.99
88,LEGO Technic 8415: Dump Truck,LEGO,£92.95,"Manufacturer's Description Super-cool dump truck with smart cabin design and great technical features - Unique steering system, mechanical tipping action for unloading, and six heavy-duty tyres.Manufacturer's recommended age 8 years +.",103.17
89,LEGO Star Wars Mos Espa Podrace (7171),LEGO,£185.61,LEGO Star Wars: Mos Espa Podrace Set 7171,206.03
90,LEGO Star Wars Force Awakens First Order Special Forces TIE Fighter 75101,LEGO,£67.98,"Intercept the enemy with the impressive LEGO Star Wars First Order Special Forces TIE fighter. The unmistakable shape of this iconic starfighter signifies the military might of the First Order, and features a 2-minifigure cockpit that opens from the top and bottom, 2 spring-loaded shooters and a rotating antenna for homing in on enemy star ships. With this great model, you can recreate the epic excitement of Star Wars: The Force Awakens. Includes 4 LEGO minifigures with assorted weapons and accessories: 2 First Order TIE Fighter Pilots, First Order Officer and a First Order Crew.<br /><br />Contents: TIE Fighter and 4 minifigures with assorted weapons and accessories: 2 First Order TIE Fighter Pilots, First Order Officer and a First Order Crew.<br />Weapons include 3 blaster pistols.<br />Open the cockpit and load up the crew.<br />Rotate the antenna and track the enemy.<br />Load the shooters and prepare to fire!<br />Recreate fantastic scenes from Star Wars: The Force Awakens.<br />The perfect addition to any LEGO Star Wars collection.<br />Dimensions: 20L X 18W X 23H cm.<br />Suitability 8 -14 Years.",75.46
91,LEGO Technic 42024: Container Truck,LEGO,£89.45,"Product Description With a massive front grille, wing mirrors, supporting legs and powerful linear actuators, the LEGO Technic Container Truck is a tough six wheeler for a tough job. This realistic 2-in-1 model can move any load you want in the container box and use its linear actuators to lever it down to the ground. Get ready to start moving some seriously heavy loads! Box Contains 1 x Features powerful linear actuators, tough front-wheel steering, supporting legs, hinged lifting arm and a removable container box",99.29
92,LEGO Bionicle 8623: Krekka,LEGO,,Product Description Raw power and brute strength! What KREKKA lacks in intelligence he makes up for in sheer power. His energy nets are strong enough to snare a Toa Metru and his shoulder-mounted Kanoka disk launcher makes sure they stay defeated. This Dark Hunter is a menace to everything that lives on Metru Nui! Includes glow-in-the-dark Kanoka disk. Manufacturer's Description What Krekka lacks in intelligence he makes up for in sheer power. His energy nets are strong enough to snare a Toa Metru and his shoulder-mounted Kanoka disk launcher makes sure they stay defeated. This Dark Hunter is a menace to everything that lives on Metru Nui! Includes Kanoka disk.,0.0
93,LEGO City 60007: High Speed Chase,LEGO,£28.95,"Product Description Start a High Speed Chase through the streets of LEGO City when the burglar escapes in his super fast sports car. He won't get far with the stolen cash when Chase McCain is on duty. Chase him with the Elite Police vehicle and Elite Police motorcycle. Then take a shortcut to block the road with a tire-shredding spike strip that will send the speeding villain spinning out of control. Includes unique code to unlock special missions and vehicles in the LEGO City Undercover video game. Includes three minifigures: Chase McCain, a burglar and an Elite Police rider with handcuffs. Box Contains 1 x Chase McCain minifigure1 x burglar minifigure1 x Elite Police motorcycle officer minifigure with handcuffs",32.13
94,LEGO Bricks & More 5930: Road Construction,LEGO,,"Use the vehicles and tools to build and repair the city streets. With easy-to-follow instructions and simple building suggestions, build a loader, dumper, dozer and other cool construction vehicles. With the construction worker minifigure and tools included in the set, let the construction building fun begin.",0.0
95,LEGO TECHNIC OFF-ROAD RACER 42010,LEGO,,"The rugged Off-Road Racer is the perfect introduction to the exciting world of LEGO Technic building. This realistic model features easy-to-follow instructions, cool, colorful styling and a pull-back motor - just pull back, release and watch it fly! Have hours of fun racing your friends! Combine your model with the 42011 Race Car for a super-fast Dragster with pull-back motor, adjustable rear wing and opening cockpit!",0.0
96,LEGO® SuperheroesTM Wolverine,LEGO,,Figure less than 5 cm tall.,0.0
97,LEGO Harry Potter 4709: Hogwarts Castle,LEGO,£374.96,"Product Description LEGO Harry Potter 4709: Hogwarts Castle - Brand New, Please note Box has shelf wear, this does not effect the sealed item Gifttogadget - LEGO 4709. - HARRY POTTER & THE SORCERER'S STONE Amazon.co.uk Review The inspired combination of Harry Potter and LEGO certainly made an impression on our two young testers; shortly after the challenge of building the LEGO Hogwarts Castle was set, they had planned out the pieces, having identified the characters and the settings from the book. Building the stunning replica of Hogwarts Castle was challenging and exciting and resulted in several hours of silence and unprecedented concentration. The stunning, unexpected details were impressive: trap doors, secret stairways, moving portraits, treasure chests, a working magnifying glass, an impressive holographic sticker, a glow-in-the-dark Voldemort and a Hagrid who, in comparison to the other figures, was a perfectly proportioned giant. The basic instructions were easy to follow and the castle can be built in many different ways, allowing children to use their imaginations and recreate scenes from the books. This is a sure-fire winner for any Harry Potter fan, and indeed for any LEGO fan. The Gryffindor Dormitory set and the Chamber of the Winged Keys are less difficult to build and would make great presents, particularly for younger Harry Potter fans, but when combined with the Hogwarts Castle set they add new dimensions to the scene. For once it seems that movie merchandise has really hit the spot. Age 7 (and a half!) and over. Susan Harrison See all Product Description",416.21
98,LEGO Friends Pop Star Tour Bus 41106,LEGO,£43.00,"Add this LEGO Friends Pop Star Tour Bus 41106 your LEGO Friends series collection. It is the largest vehicle the streets of Heart Lake City have ever seen. It comes with a new colour scheme and lots of different features and details allowing for a lot of play scenarios. It is a challenging build with complex building techniques needed for the articulated motion of the model that will keep building pros interested. The 41106 Tour Bus would work well in a City or Modular scenario. Drive with Livi the pop star on her amazing Tour Bus with LEGO Friends Pop Star Tour Bus 41106. The Tour Bus is a home away from home for Livi when she is on the road and has everything a pop star needs to relax and prepare for performances. Chill out in the living area and help Livi go through her fan mail before having fun singing karaoke on the TV with her friends Stephanie and Mia. Stop the bus and reveal the rehearsal stage area for Livi to practice for tonight's show while her friends watch from their sun loungers under the umbrella with some drinks and snacks. Pump some tunes from the DJ decks as Livi joins them after rehearsal to get in the party mood. Then relax in the hot tub before Stephanie takes the wheel and drives Livi to the venue in time for the big show!<br /><br />Tour Bus has a driving area with 2 seats, a living area with TV and bed elements, a bathroom with brick-built hot tub and a pull-out rehearsal stage.<br />Outdoor party area has 2 tables, an umbrella, 3 sun loungers, a DJ booth and 2 brick-built speakers with pylons.<br />Suitable for ages 8 - 12 years.<br />LEGO Friends Pop Star Tour Bus Assembled Dimensions: 26L x 6W x 11H cm (Closed).<br />Contents: Livi, Stephanie and Mia mini figures, a fan letter, flowers, bottles, beauty products, a microphone, a bag, a newspaper, a bowl, drinks and food.<br />Batteries Not Required.",47.73
99,LEGO City 3658 Police Helicopter,LEGO,,Police helicopter appeared in LEGO City. I'll be able to catch from the sky also criminal fleeing in this!,0.0
100,LEGO Bionicle Digital Camera (Vorox),LEGO,£6.99,"Enter the world of BIONICLE - where biomechanical beings rule the island of Metru Nui, and the universe's demise is imminent. Bionicle digital cameras empower kids to inspire their imagination and capture the store of Toa fighting the evil brotherhood of the Makuta, as well as take everyday pictures of their families and friends.",7.76
101,Lego Lights City Keylight Fire,LEGO,,Product Description LEGO Key Light with batteries The LEGO LED Key Light provides just the assistance you need when you are trying to unlock a door in the dark. This cute Minifigure is small and light enough to ride inconspicuously on your key ring until its lighting services are needed. Press its chest plate logo for a burst of illumination and be on your way. Box Contains 1 x LED Fire Keylight,0.0
102,Lego 70135 Chima - Cragger's Fire Striker,LEGO,£45.53,"Lego - Chima - Cragger's Fire StrikerChase down Vornon and attack with Cragger's Croc-tastic Fire Striker!Vornon has stolen the Chi, so give chase with Cragger's snapping Fire Striker. Place the Croc leader at the controls and accelerate. When you get the Vulture warrior in your sights, skid to a halt and attack. Open the croc-style mouth of the tank and fire up the ball shooters. But hang on - who's that lurking behind the ice flowers? Vornon has lured Cragger into an ambush and Stealthor is targeting him with the catapult! Features:Includes 3 minifigures with assorted weapons: Cragger, Stealthor and VornonCragger's Fire Striker features fire Chi power mode to convert from race to attack mode, cockpit, opening croc mouth with sharp teeth and scale detail, wheels with croc teeth, fire Chi, Chi weapon holders, 2 ball shooters and translucent fire elementsAlso includes bad-guy weapon station with ice flowers and a catapultWeapons include a Fyreclaw for Cragger, Clawsicle for Stealthor and an Ice Slice for VornonSpeed after Vornon in Cragger's awesome Fire StrikerFire the ball shootersAccelerate away or enter fire Chi power mode to switch to attack mode!Aim the catapult from the weapon stationCragger's Fire Striker measures over 3"" (9cm) high, 11"" (29cm) long and 8"" (22cm) wide in fire-down mode, and over 5"" (13cm) high, 11"" (28cm) long and 7"" (18cm) wide in fire Chi power modeWeapon station measures over 3"" (8cm) high, 3"" (8cm) wide and 1"" (5cm) deep",50.54
103,LEGO Teenage Mutant Ninja Turtles 79100: Kraang Lab Escape,LEGO,£40.99,"Product Description Give the villains the slip with a hot slice of turtle power. The Kraang has Michelangelo locked tight in a laser-shield prison inside his lab. Use Michelangelo's leftover pizza to turn a sticky situation into a slick escape. Slide the pizza through the prison bars to make the Foot Soldier slip and fall. Then activate the explosion function on Michelangelo's cage to escape. Once he's free, battle The Kraang in his awesome mech walker with dual laser flick missiles. Be ready for a wild ride through the city sewers when The Kraang detaches the mech walker's legs to create a flying escape pod. Don't let him get away. Box Contains 1 x prison1 x mech walker1 x Michelangelo minifigure1 x Foot Soldier minifigure1 x The Kraang4 x weapons",45.5
104,Lego Friends Graphite Pencils (Pack of 8),LEGO,£4.70,"Product Description LEGO® Stationery makes the perfect gift for all LEGO fans, or a great addition to your pencil case or desk. Pack of 8 graphite pencils. Box Contains 1 x pack of 8 graphite pencils",5.22
105,Lego Minifigures Series 3 - TRIBAL CHIEF,LEGO,£7.79,LEGO Collectable Minifigures: Tribal Chief Minifigure (Series 3),8.65
106,LEGO Ninjago 9440: Venomari Shrine,LEGO,£22.99,"Product Description Deep inside the hidden Venomari Shrine, Zane must retrieve the mysterious, golden Venomari staff and the anti-venom hidden inside. As he tiptoes around the toxic snake slime to reach the staff, 2 mini-snakes lunge at him. Can he avoid their razor-sharp fangs and acid spit to escape with the staff? You decide! Includes Zane ZX minifigure, 2 Venomari mini-snakes, golden Venomari staff and silver sword.",25.52
107,LEGO Star Wars: Biker Scout Trooper Minifigure with Blaster Rifle,LEGO,£7.50,LEGO Star Wars: Biker Scout Trooper Minifigure with Blaster Rifle,8.33
108,LEGO Star Wars 7913: Clone Trooper Battle Pack,LEGO,£39.00,"Product Description As the Clone Wars rage across the galaxy, the Army of the Republic faces a powerful new enemy--the Mandalorians. Build up your crack team of clone troopers with the BARC speeder, the all-new ARF clone trooper, two new bomb squad clone troopers and the new clone commander minifigures.",43.29
109,Lego 75036 Star wars - Utapau Troopers,LEGO,£18.89,"Lego - Star wars - Utapau TroopersDefeat the Tri-Droid with the Utapau Troopers battle pack!Help the 212th Battalion Clone Troopers take on the Octuptarra Tri-Droid with the Lego Star Wars Utapau Troopers battle pack. But watch out! With a rotating head, poseable legs and 3 flick missiles, the dangerous Tri-Droid is more than a match for the Clone Troopers! Features:Includes 4 minifigures with weapons: 2 212th Battalion Clone Troopers and 2 Airborne Clone TroopersFeatures a Tri-Droid with a rotating head, poseable legs and 3 flick missilesIncludes 4 new blasters that really fireFeatures new Airborne Clone Trooper helmet design and body detailingTri-Droid (with legs folded) measures over 5"" (14cm) high, 3"" (8cm) long and 2"" (7cm) wide",20.97
110,LEGO Minifigures Series 9 Roller Derby Girl (opened packet),LEGO,,LEGO Collectable Minifigures: Roller Derby Girl Minifigure (Series 9),0.0
111,LEGO® Star WarsTM Salacious B. Crumb Minifigure from set 9516,LEGO,£6.78,-,7.53
112,LEGO Ninjago 70504: Garmatron,LEGO,,"Product Description Lord Garmadon's most fearsome soldier, General Kozu has stolen the elemental ice blade and is trying to escape in the Garmatron, a tracked-tire battle machine straight from the underworld. Chase after him with Zane on the ice spider and fire the ice shooter. Dodge the Garmatron’s hidden missile and get the elemental ice blade back without being locked up in the Garmatron’s prison. Includes three minifigures with weapons: Zane, General Kozu and swordsman. Box Contains 1 x Zane minifigure1 x General Kozu minifigure1 x swordsman minifigureassorted weaponry",0.0
113,LEGO Hero Factory 44001: Pyrox,LEGO,,"Product Description Calling all heroes to the LEGO Hero Factory briefing room immediately. The evil brains have transformed a bull-like creature into the ferocious fire minotaur, PYROX. This is one beast you must approach with extreme caution. Beware of its huge horns, rotating flame staff, fire claws and lava shoulder armour. This bull-headed bad guy was made for the heat of battle. Box Contains 1 x removable yellow evil brain1 x huge horns1 x rotating flame staff1 x razor-sharp fire claws1 x rock-hard lava shoulder armour1 x leg armour flames",0.0
114,LEGO Atlantis 8075: Neptune Carrier,LEGO,£52.85,"Product Description Launch your defense with the armored Neptune Carrier submarine, with quad flick-launching torpedoes, a scout mini-sub and a quick-deploying seabed rover to even the odds on the ocean floor! Includes Manta Warrior with trident and 3 deep-sea diver minifigures. Includes Carrier sub, scout mini-sub and seabed rover Also includes Manta warrior minifigure plus 3 diver minifigures Features collectable green Atlantis treasure key Fire the four flick-launching torpedoes Mini sub scouts the ocean floor Roving vehicle scours the seabed Measures 12"" (30cm) long !Collect all the Atlantis treasure keys! Award Winner: National Parenting Seal of Approval Manufacturer's Description The mighty Neptune Carrier moves to protect its seabed rover and scout minisub from the clutches of the dangerous stingray and powerful Manta Warrior. With its quad flick torpedoes, the carrier is more than a match for the guardian creatures, but can the team find the green Atlantis treasure key?",58.66
115,LEGO Technic 8068: Rescue Helicopter,LEGO,£74.99,"Product Description Carry out daring aerial rescue missions with this highly realistic rescue helicopter. Turn the gear wheels to spin the main and tail rotors simultaneously, open the doors and lower the winch to make the rescue. Then operate the retractable landing gear when landing. Rebuilds into a medical helicopter.• Use control knobs to spin main and tail rotors simultaneously and retract landing gear • features functioning winch and opening side doors • 2-in-1 model: Rebuilds into a medical helicopter Manufacturer's Description Make daring air rescues with this realistic Rescue Helicopter! Carry out daring aerial rescue missions with this highly realistic Rescue Helicopter. Turn the gear wheels to spin the main and tail rotors simultaniously! Open the doors and lower the winch to make the rescue! Operate the retractable landing gear when landing! Rebuilds into a medical helicopter.",83.24
116,LEGO Ninjago 70747 Boulder Blaster,LEGO,£23.49,Product Description Bust Cole out of prison in the LEGO NINJAGO Boulder Blaster with spring-loaded 8-missile NINJAGO rapid shooter and retractable handle. Box Contains 236 x Pieces,26.07
117,LEGO Harry Potter 4705: Snape's Class,LEGO,£85.00,"Product Description LEGO Harry Potter 4705: Snape's Class Amazon.co.uk Review Conjure your way into the highly charged classroom of Professor Snape--Potions teacher at Hogwarts School of Witchcraft and Wizardry--with LEGO's Snape's Class. This set will take approximately 20 minutes to construct following the well-illustrated 32-page instruction booklet. Once assembled let the magic and tension of cold Professor Snape's class begin. Here to be instructed in the latest in potion making is Harry Potter's pal Ron Weasley. Let your LEGO Snape menacingly tutor Ron in the art of using the big black LEGO cauldron and mixing the various brightly coloured LEGO potions. Watch Snape wave his ""One Thousand Magical Herbscand Fungi"" book under Ron's nose. Will Ron survive the retracting giant spider's web and will he discover Snape's secret hidden chest. Yet even more thrilling--just who is lurking ominously in Snape's magical chamber hidden behind the potion cupboard? This is a good set for Harry Potter and LEGO fans. (Suitable for 7-12 year olds) --Victoria Mackenzie",94.35
118,The Simpsons Lego Mini Figure Apu,LEGO,£7.75,,8.6
119,Lego City Burglars magnet set,LEGO,£7.29,"Lego City Burglars Magnet set with three Burglars, one with a crowbar, another with handcuffs and the last with money.",8.09
120,Lego Star wars Yoda Keyring (2015) - 853449,LEGO,,LEGO Star Wars: Yoda 2015 Keychain,0.0
121,LEGO City Airport 60022: Cargo Terminal,LEGO,£199.18,"Product Description Get busy loading the cargo at the Cargo Terminal with plane, control tower, conveyor belt, Octan truck, and forklift. view larger Load up the cargo plane for an air delivery! Get busy loading the cargo at the LEGO City Cargo Terminal! Open the cargo plane doors and help the workers to move the conveyor belt into position. Load the boxes onto the belt and push them into the plane, then use the ATV and the forklift's adjustable forks to pick up the gold bars and drive them through the cargo plane's opening tail. Fill up the tanks with the Octan truck, radio the control tower, and taxi off for another delivery. Three workers are among five minifigures included in this playset. view larger The set includes five minifigures with accessories: a pilot, a controller, and three workers. Accessories include a pallet with two storage boxes and 12 gold bars, a pallet with tyres, a pallet with six cargo boxes, a crowbar, and a coffee cup. The cargo plane features opening doors and tail, four engines, and a sleek design; the control tower features rotating radar dish, antenna, and space for a minifigure; and the conveyer belt features an adjustable, moving conveyor. The Cargo Terminal playset, part of the LEGO City Airport range, is recommended for children aged 6 to 12 years and features a total of 658 pieces. The cargo plane measures 17 cm high, 57 cm long, and 44 cm wide; the control tower measures 27 cm high, 9 cm wide, and 6 cm long; the forklift measures 7 cm high, 9 cm long, and 5 cm wide; the conveyer belt measures 3 cm high, 13 cm long, and 8 cm wide; and the Octan truck measures 3 cm high, 7 cm long, and 3 cm wide. 60022: Cargo Terminal Build the LEGO City Cargo Terminal with cargo plane, control tower, conveyer belt, Octan truck, forklift, buildable ATV, and lots more! Product at a glance: Recommended ages: 6 to 12 years Pieces in playset: 658 Minifigures included: 5 Batteries required: none Box Contains 1 x Cargo plane1 x Control tower1 x Conveyor belt1 x Octan truck1 x Forklift1 x ATV1 x Pilot minifigure1 x Controller minifigure3 x Worker minifigures1 x Pallet with 2 storage boxes and 12 gold bars1 x Pallet with tyres1 x Pallet with 6 storage boxes1 x Crowbar1 x Coffee cup",221.09
122,LEGO Star Wars TM 75137: Carbon-Freezing Chamber Mixed,LEGO,£19.98,"Product Description Journey to Bespin on a mission to save Han Solo from being frozen in carbonite. This detailed recreation of the Carbon-Freezing Chamber from Star Wars: Episode V The Empire Strikes Back features a control centre, freeze bed with freeze function, staircase, elevator and Han Solo, Boba Fett and Ugnaught minifigures. Safety Warning not appropriate for children under the age of 3 See all Product Description",22.18
123,Lego 7879 Starwars - Hoth Echo Base,LEGO,,"Defend the Hoth Echo Base from the evil Imperial forces!Prepare for attack! Imperial forces have discovered the Rebel base hidden on the ice planet of Hoth and are preparing to crush the Rebel Alliance. Han Solo, Chewbacca, Princess Leia and protocol droid R-3PO get ready to fend off the attack as 2 snowtroopers approach. Luke Skywalker is in the bacta tank being treated by medical droid 2-1B. Expanding base features tauntaun stable with tauntaun, working cargo crane, 2 rotating radar dishes, icicle trap and speeder bike.Features:Features tauntaun stable with locking gate, tauntaun, rotating radar dishes, falling icicle trap, working cargo crane, and medical bay with bacta tankIncludes 8 minifigures: Han Solo, injured Luke Skywalker, Princess Leia, 2-1B, protocol droid R-3PO, Chewbacca and 2 snowtroopersFire the flick missile gun turrets!Defend the Rebel Alliance with repeating blaster and blaster rifle weapons!Measures over 21"" (53cm) wide and 5"" (12cm) tallImperial speeder bike measures over 5"" (12cm) long",0.0
124,LEGO Classic 10692 LEGO Creative Bricks,LEGO,£12.97,Product Description LEGO Classic Creative Bricks inspires open-ended building play with an array of colorful bricks and special pieces. Box Contains 221 x Pieces,14.4
125,LEGO Star Wars 9516: Jabba's Palace,LEGO,,"At Jabba’s Palace™ on Tatooine, Princess Leia is disguised as Boushh as she tries to rescue Chewbacca and carbonite-frozen Han Solo. Can she get past the roof-mounted missiles, defense guns and surveillance equipment to reach them? Or will Jabba and his motley band of followers capture the princess and entrap her beneath Jabba’s sliding throne? Includes 9 minifigures: Jabba, Salacious Crumb, Bib Fortuna, Gamorrean Guard, Oola, Han Solo, Princess Leia in Boushh outfit, Chewbacca and B'omarr Monk.",0.0
126,LEGO Super Heroes: Hawkeye with Equipment Set 30165 (Bagged),LEGO,£6.00,LEGO Super Heroes: Hawkeye with Equipment Set 30165 (Bagged),6.66
127,LEGO Friends 41031: Andrea's Mountain Hut,LEGO,£12.32,"Product Description Toast marshmallows on the campfire with Andrea! After a long day of hiking in the mountains outside Heartlake City, she has found a secret spot to set up camp for the night. Help her build the campfire and make a hot drink to keep warm. Use the camera to take some pictures of the beautiful mountain view. Then share a toasted marshmallow with the friendly squirrel before Andrea settles down in her camp bed to enjoy a night under the stars. Combine with 41034 Summer Caravan for an even cooler camping scene. Includes Andrea mini-doll figure. Box Contains 1 x Andrea mini-doll figure",13.68
128,LEGO Pirates of the Caribbean: Hector Barbossa Pegleg Minifigure,LEGO,£8.99,LEGO Pirates of the Caribbean: Hector Barbossa Pegleg Minifigure,9.98
129,"LEGO Pirates of the Caribbean: Battle Pack: Jack Sparrow, Scrum, Lieutenant Theodore Grove, 2 Zombie Pirates",LEGO,,"LEGO Pirates of the Caribbean: Battle Pack: Jack Sparrow, Scrum, Lieutenant Theodore Grove, 2 Zombie Pirates",0.0
130,LEGO Technic 8294: Excavator,LEGO,,"Product Description LEGO Technic 8294: Excavator Manufacturer's Description No construction site can do without this impressive excavator! Hydraulic actuators raise and lower the articulated arm, the bucket extends and contracts, the cab manually swivels 360°, and the Excavator rolls on all-new caterpillar tracks. Motorise the articulated arm using 8293 Power Functions Motor Set. Rebuilds into Tracked Dumper.",0.0
131,Lego Star Wars 15 Light sabers 5 colours (trans. dark blue) with gray hilts,LEGO,£11.49,Brand new item without original packaging,12.75
132,LEGO Bricks: Orange 2x2. Part 3003 (X 50),LEGO,,"Taken from standard LEGO sets. 50 x 2x2 Orange LEGO bricks (brand new). Great for specific projects, compatible with all standard LEGO themes (City / Creator / Star Wars etc.).",0.0
133,LEGO Bionicle 8920 Ehlek,LEGO,£34.57,LEGO Bionicle 8920 Ehlek,38.37
134,Lego 60009 City Helicopter Arrest,LEGO,£49.95,LEGO City: Helicopter Arrest Set 60009,55.44
135,Doc Ock Truck Heist LEGO® Super Heroes Set 76015,LEGO,,"Foil the Doc Ock Truck Heist with heroic Spider-Man! Doctor Octopus needs money, diamonds and gold to finance his evil plans... so he decides to make a cash withdrawal, bad guy style! Use his adjustable arms to rip the roof off the money truck and while the truck driver sprints for safety, blow open the back with the dynamite and secret button. But what's this? Spider-Man has spotted Doc Ock and swoops in to save the day! Can he tie him up with his super-strong spider web? Includes 3 minifigures: Spider-Man, Doc Ock and a truck driver.",0.0
136,LEGO Star Wars 75033: Star Destroyer,LEGO,£12.95,"Product Description Control the galaxy with the cool LEGO Star Wars Star Destroyer microfighter. You'll be amazed how many details have been crammed into this miniature-size version of the Empire's giant starship, like engines at the back, 2 flick missiles and a mini cockpit for the Imperial Crew minifigure to sit in! Fire up the engines and get ready to hunt down the Rebels. Includes an Imperial Crew minifigure with a blaster pistol. Box Contains 1 x Imperial Crew minifigure with a blaster pistol",14.37
137,LEGO Atlantis 7985: City of Atlantis,LEGO,,"The City of Atlantis has been discovered! Can you help Captain Ace Speedman and Professor Sam Rhodes release the Golden King from the temple ruins? Avoid the booby traps and falling pillar, battle the evil Lobster and Barracuda guardians, and whatever you do, don't end up in the dungeon or in the claws of the giant crab!• City of Atlantis features entrance corridor with swinging axe/falling pillar traps and dungeon • Treasure key lock function releases the Golden King• Includes Deep Sea Sub with flick missiles and claws • 2 divers minifigures included • Also includes giant crab, Lobster guardian, Barracuda guardian and Golden King figures",0.0
138,Lego 70730 Ninjago - Chain Cycle Ambush,LEGO,£32.81,"Lego - Ninjago - Chain Cycle AmbushSpeed away from the Ghost Bike and grab the Aeroblade!Help Zane to defeat Chain Master Wrayth! Grab the precious Aeroblade from the spirit vortex and defeat the Ghosts! The ghoulish Wrayth is riding to intercept the Ninja on his spine-chilling Chain Cycle with spiked wheels. Jump onto Zane's glider and swerve clear of the bike's stud shooters. Dodge the chain bolas fired from the rear catapult and watch out for the deadly Skreemers-if they attach themselves to Zane's head, he'll be turned into a ghost! Fend off those Ghosts with his double-ended Elemental Ice Spear and beat the Chain Master to the Aeroblade before it's too late.Features:Includes 3 minifigures with assorted weapon elements: Zane, Chain Master Wrayth and Ghost Warrior PyrrhusChain Cycle features a saddle, red 'eyes', wheels with spikes, 2 stud shooters, weapons holder, chain bolas and a rear catapultZane's glider features blade and sword details and a translucent ice exhaust elementSpirit vortex features a detachable AerobladeAlso includes 2 Skreemer (attachable to minifigures) with accessory elements: an ice cream, Ghost Katana and a wrenchWeapon elements include Zane's Elemental Ice Spear, Wrayth's Chain Staff with Ghost Master Blade and Pyrrhus' Ghost KatanaWrayth and Pyrrhus minifigures feature transparent ghost legs and ghost armorEvade the Chain Cycle's catapult and stud shooters!Fend off the Skreemer with Zane's Elemental Ice SpearDefeat Wrayth and grab the Aeroblade from the ghost vortexRecreate your favorite scenes from the Ninjago: Masters of Spinjitzu TV showChain Cycle measures over 3"" (10cm) high, 10"" (27cm) long and 5"" (14cm) wideZane's glider measures over 2"" (7cm) long, 2"" (7cm) wide and under 1"" (1cm) highSpirit vortex measures over 2"" (6cm) high, 1"" (4cm) wide and 1""",36.42
139,LEGO Minifigures Series 9 BATTLEMECH (opened packet),LEGO,£7.95,LEGO Collectable Minifigures: Battle Mech Minifigure (Series 9),8.82
140,Lego Series 14 Minifigures 71010 (Lego Series 14 Banshee),LEGO,£4.58,Colour Name:Lego Series 14 Banshee New Series 14 Lego Minifigures. Brand new repacked to identify the figures.,5.08
141,Lego Minifigures Series 10: Grandpa,LEGO,£12.95,LEGO Minifigures Series 10,14.37
